attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,state
78,83,1346820,22956,33125,20274,19161,18170,1851,2827,0
66,75,1292155,324233,44178,57302,20372,12119,4882,1496,0
61,97,42779,2952,5303,3022,1425,1773,896,287,0
67,87,255141,20919,9789,5161,6876,7054,3955,1990,0
67,87,626411,10510,2292,6692,2995,1577,494,300,0
70,80,734701,20471,9735,6883,4155,13519,1306,477,0
47,48,747395,210384,27210,22683,51104,20234,8459,13004,0
57,54,739813,68047,21428,8251,3085,1850,686,534,0
75,61,1978495,156691,65601,52164,102724,130448,12565,3532,0
64,74,388834,78932,49351,11084,17304,12599,8509,7452,0
60,64,428690,150756,37983,30545,57751,22323,12894,11766,0
78,64,1547703,239511,117412,223331,376109,232086,16509,16031,0
88,60,1381574,205828,50196,96053,47829,111622,18176,10592,0
96,63,241497,8382,1937,3766,5733,2329,1289,1040,0
78,77,1897545,37604,67162,65620,27813,19479,8310,5008,1
77,93,774731,22661,1834,10613,6063,2613,2272,1558,1
74,70,531664,140766,5502,38107,12676,13628,6688,4082,1
74,70,233108,15840,6188,3320,7985,7200,2296,579,1
74,77,1012388,34901,13428,17315,19793,13816,10483,5936,1
63,61,845695,85920,27762,4889,2627,4442,2227,2744,1
66,60,1186342,350811,171256,117002,181582,200532,19636,7930,1
61,54,258105,74915,34013,29200,10582,16568,8133,5528,0
84,47,81680,15481,1066,1112,4109,8073,1336,1313,0
77,60,6177,23321,9451,35718,9354,11652,8655,3388,0
75,44,73676,98098,4374,9980,27682,6161,13221,7248,0
80,44,942680,23129,19974,8518,12581,10481,1292,1547,0
80,44,2713826,457719,226398,115785,97287,31490,9395,5194,0
80,44,715136,18964,5871,3687,2470,1579,597,126,0
75,60,682109,36510,4601,10867,6342,12381,3264,568,0
75,60,918951,13173,705,9706,7290,3316,977,364,0
61,77,105265,15428,20159,3683,2074,1919,739,497,0
66,81,125416,32007,26367,6120,8013,13216,1731,564,0
