54,21,47237,45947,4466,4261,5435,2305,1715,968,2
24,34,159258,63125,28529,4020,3456,2502,1692,625,2
34,43,14802,13160,5605,9304,6798,5790,4232,1092,2
41,37,47461,5699,1103,468,1077,1554,636,445,2
43,38,160756,380309,75396,13446,28761,27339,73245,16466,2
60,38,426756,94220,78269,92644,67095,92881,13759,3560,2
53,57,556371,31847,29058,43139,15009,9857,13609,5393,2
54,51,122251,227557,16699,9787,9387,19343,23934,9654,2
63,51,13066,16721,10887,3660,5031,9594,4720,3602,2
56,41,80489,5859,2139,2117,3159,4325,2613,1061,2
78,54,31633,10416,23163,25444,8883,9058,4189,1773,2
57,63,123057,123703,64519,51164,39229,16845,5254,2891,2
34,61,49466,106712,7420,53047,24898,5533,9452,1905,2
27,54,164969,36443,20846,18976,4739,6230,5781,12826,2
30,51,292965,47112,6811,1696,6442,5414,9516,1019,2
30,48,501978,89847,46986,18398,15542,9913,6345,4404,2
38,47,251794,221628,11694,81752,39902,22007,6980,3157,2
48,40,13349,21270,3897,12312,3215,10874,16676,1220,2
61,53,11139,8046,4647,7936,5356,10884,17894,2537,2
35,57,673281,219489,591041,170409,67574,96202,27054,9359,2
37,60,895906,187267,55828,39691,6422,31951,36038,14267,2
66,69,40314,16092,12324,3727,1920,7900,4066,1573,2
61,43,1023450,663370,56428,31737,49771,42693,27197,12091,2
60,40,34187,78604,9954,17382,5458,8165,7589,1049,2
41,34,60891,28846,7653,1820,4263,1759,2325,2585,2
38,29,32885,29812,14700,3432,6000,7782,10767,7990,2
44,40,4643,41278,5842,16919,15991,8298,3427,1386,2
51,43,60549,55929,22700,17087,14561,14607,4950,4454,2
54,40,278451,38642,4283,3684,8095,4442,1708,587,0
44,37,1001387,76988,8476,8094,3090,3929,3074,5019,0
50,24,28561,49933,9770,13233,3298,17691,5570,2797,0
51,23,118964,52662,7443,7646,11771,12606,6678,2886,0
51,30,62745,70300,12153,22850,10547,9445,8239,4430,0
54,38,56070,56757,29009,4414,21238,5399,12232,4270,0
43,53,128785,45806,108032,12430,23405,12884,20947,4705,0
34,57,1458031,337310,54060,84163,35572,23615,41961,11494,0
26,56,189253,55188,11057,9153,6004,3552,7689,3734,0
35,56,138720,17988,2165,12522,8720,5389,6402,1903,0
69,47,139371,3473,1563,1476,2377,1838,1993,671,0
70,44,7710,59736,11690,12741,9862,15173,6668,8178,0
74,47,24979,27584,8808,9831,19637,6477,4225,1281,0
64,44,26939,75734,11717,14960,3565,10686,2490,1119,0
